ms,lon,lat,yaw,pitch,roll
17000,-88.24066384999716,40.09581588380305,-22.854961,-8.809160,-23.129770
17100,-88.2406601260662,40.095822327897,-23.206106,-43.488548,-28.641222
17200,-88.24065598157155,40.0958286025165,-29.870230,-27.312977,-10.335877
17300,-88.2406518370769,40.095834877136,-10.778625,4.931298,7.763359
17400,-88.24064873779486,40.09584103987085,-17.725191,-8.740458,-22.526718
17500,-88.2406456385128,40.0958472026057,-13.374045,-6.839694,-7.534351
17600,-88.2406436426229,40.09585373385934,-7.160306,-12.129771,-21.099237
17700,-88.2406410568653,40.09586715512665,-11.458015,-13.679389,-28.244274
17800,-88.2406404669976,40.0958740451403,-10.267176,-2.099237,-23.022902
17900,-88.24064228435655,40.0958804226266,-9.694656,-14.633588,-33.893131
18000,-88.2406441017155,40.0958868001129,-26.854961,-3.213740,-30.290077
18100,-88.24064799393736,40.095892525293095,-17.511450,-9.801527,-16.633587
18200,-88.2406518861592,40.0958982504733,-23.267176,0.305344,-8.274809
18300,-88.24065836514444,40.095903006704546,-13.320611,14.496183,21.076336
18400,-88.2406648441297,40.0959077629358,-10.946565,-8.328244,-26.259542
18500,-88.24066845025473,40.095909740651706,-20.274809,0.564885,-26.824427
18600,-88.24067205637975,40.0959117183676,-25.595419,-41.442749,-30.763359
18700,-88.24067566250477,40.0959136960835,-32.259541,-12.992367,-20.496183
18800,-88.2406792686298,40.0959156737994,-42.603054,-0.969466,-1.618321
18900,-88.24068278259483,40.095917756515725,3.801527,37.343510,48.824429
19000,-88.24068629655986,40.09591983923205,-6.312977,-22.091602,12.809160
19100,-88.24068981052488,40.095921921948374,-16.244274,-32.068703,-41.335876
19200,-88.2406933244899,40.0959240046647,-26.022902,-5.938931,-44.152672
19300,-88.24069688921725,40.09592597834008,-48.679390,-10.488549,13.015267
19400,-88.2407004539446,40.09592795201545,-34.847328,-0.122137,52.916031
19500,-88.24070401867195,40.095929925690825,-15.870229,-11.290076,60.816795
19600,-88.2407075833993,40.0959318993662,-10.694656,-5.083970,35.770992
19700,-88.24071098750912,40.09593386649833,7.977099,4.862596,20.404581
19800,-88.24071439161895,40.09593583363045,10.030535,-6.580153,29.358778
19900,-88.24071779572878,40.09593780076257,26.022902,8.778625,37.282444
20000,-88.2407211998386,40.0959397678947,29.488550,-20.671755,-41.183205
20100,-88.24072636299505,40.09594425538515,5.496183,-55.137405,-40.832062
20200,-88.2407373818271,40.0959529145652,4.595420,3.099237,7.236641
20300,-88.2407432375027,40.0959570862548,5.053435,2.099237,-1.503817
20400,-88.2407493213949,40.0959609843678,5.152672,-10.366412,3.137405
20500,-88.2407554052871,40.0959648824808,8.129771,3.267176,20.786259
20600,-88.24076116338486,40.09596861008025,5.412214,0.290076,8.786260
20700,-88.2407669214826,40.0959723376797,9.549619,-2.038168,4.511450
20800,-88.24077250543604,40.095976234153,-2.206107,30.503817,-18.106871
20900,-88.2407780893895,40.0959801306263,-10.824428,9.954199,-22.496183
21000,-88.24078376892109,40.0959842707328,3.847328,92.564888,29.664122
21100,-88.2407894484527,40.0959884108393,-1.893130,-27.198473,29.061069
21200,-88.24079507688975,40.095992638595746,3.465649,5.854962,17.580153
21300,-88.2408007053268,40.0959968663522,-1.618321,-21.603054,2.679389
21400,-88.24080733512531,40.0960000656367,-0.091603,15.801527,11.106871
21500,-88.2408139649238,40.0960032649212,3.885496,0.770992,19.770992
21600,-88.24081773144313,40.096004430841745,-0.183206,-16.519083,17.053434
21700,-88.24082149796246,40.096005596762296,-1.282443,10.564885,32.122139
21800,-88.24082526448177,40.09600676268285,1.358779,2.740458,15.740458
21900,-88.2408290310011,40.0960079286034,-1.076336,-0.473282,17.496183
22000,-88.24083309710747,40.09600900377815,19.381680,5.641222,52.793892
22100,-88.24083716321385,40.0960100789529,6.229008,-6.557252,20.274809
22200,-88.24084122932022,40.09601115412765,22.427481,-6.068702,14.854961
22300,-88.2408452954266,40.0960122293024,5.938931,0.427481,0.465649
22400,-88.24085015679177,40.09601539952706,9.984733,11.320611,27.312977
22500,-88.24085501815695,40.09601856975173,-0.656489,-11.480916,15.648855
22600,-88.24085987952213,40.09602173997639,14.396947,2.816794,19.496183
22700,-88.2408647408873,40.09602491020105,6.877862,-13.763359,20.702290
22800,-88.24086960225247,40.09602808042571,9.015267,-6.412214,31.763359
22900,-88.24087446361764,40.09603125065038,25.137405,-21.244274,50.885498
23000,-88.24087932498281,40.09603442087504,21.725191,-37.419846,16.519083
23100,-88.240884186348,40.0960375910997,21.877863,6.778626,2.259542
23200,-88.24088576135105,40.096043126617204,11.442748,20.435114,0.702290
23300,-88.2408873363541,40.0960486621347,6.129771,-2.068702,9.633588
23400,-88.24088857261205,40.0960547598238,4.152672,20.366413,32.778625
23500,-88.24088980887,40.0960608575129,9.961832,-2.106870,45.267174
23600,-88.24089073911114,40.09606659548475,21.854961,-21.526718,46.083969
23700,-88.2408916693523,40.0960723334566,14.129771,-9.938931,9.679389
23800,-88.24089332389539,40.0960784122733,13.816793,-2.595420,9.526717
23900,-88.2408949784385,40.09608449109,5.526718,5.022901,20.175573
24000,-88.24089789470345,40.09609045641635,14.312977,-29.351145,43.519085
24100,-88.2409008109684,40.0960964217427,18.740458,-19.557251,38.961834
24200,-88.24090719377756,40.096109107273904,39.519085,-10.396947,47.114502
24300,-88.24091676110775,40.096127748499896,33.900764,-20.511450,10.458015
24400,-88.2409199456288,40.0961337041947,46.557251,-2.000000,9.458015
24500,-88.24092252466156,40.09613931438945,33.068703,-7.549618,-8.137404
24600,-88.2409251036943,40.0961449245842,30.923664,-11.351145,-3.557252
24700,-88.240927551868,40.0961502551087,30.068703,-10.977099,-30.740458
24800,-88.2409300000417,40.0961555856332,26.717558,8.412213,-15.038168
24900,-88.24093268695896,40.0961615989509,21.946566,7.442748,-24.435114
25000,-88.2409353738762,40.0961676122686,15.419847,9.183207,-38.427483
25100,-88.2409384129836,40.096174138218956,2.053435,-22.091602,-43.351147
25200,-88.240941452091,40.0961806641693,-2.000000,-5.015267,-18.007633
25300,-88.24094217830125,40.096187579248806,-12.633588,-11.412213,2.305344
25400,-88.2409429045115,40.0961944943283,-1.801527,13.419847,10.641221
25500,-88.24094402217256,40.096201327591146,-7.755725,-15.732824,-30.496183
25600,-88.2409451398336,40.096208160854,-10.503817,36.694656,-7.816794
